mlabel,value,chindex,chlabel,bini,binlabel,SubjID
n250,-2.461,1,FP1,1,Critical_word_small_family,S14
n250,-2.626,2,Fz,1,Critical_word_small_family,S14
n250,-2.358,3,F3,1,Critical_word_small_family,S14
n250,-1.233,4,F7,1,Critical_word_small_family,S14
n250,-0.697,5,FC5,1,Critical_word_small_family,S14
n250,-3.352,6,FC1,1,Critical_word_small_family,S14
n250,-1.929,7,C3,1,Critical_word_small_family,S14
n250,-0.581,8,T7,1,Critical_word_small_family,S14
n250,-0.925,9,CP5,1,Critical_word_small_family,S14
n250,-2.956,10,CP1,1,Critical_word_small_family,S14
n250,-2.931,11,Pz,1,Critical_word_small_family,S14
n250,-0.650,12,P3,1,Critical_word_small_family,S14
n250,0.382,13,P7,1,Critical_word_small_family,S14
n250,2.215,14,O1,1,Critical_word_small_family,S14
n250,1.092,15,O2,1,Critical_word_small_family,S14
n250,-0.447,16,P4,1,Critical_word_small_family,S14
n250,1.290,17,P8,1,Critical_word_small_family,S14
n250,0.000,18,CP6,1,Critical_word_small_family,S14
n250,-2.893,19,CP2,1,Critical_word_small_family,S14
n250,-3.812,20,CZ,1,Critical_word_small_family,S14
n250,-2.366,21,C4,1,Critical_word_small_family,S14
n250,-0.767,22,T8,1,Critical_word_small_family,S14
n250,-1.120,23,FC6,1,Critical_word_small_family,S14
n250,-3.268,24,FC2,1,Critical_word_small_family,S14
n250,-3.097,25,F4,1,Critical_word_small_family,S14
n250,-2.195,26,F8,1,Critical_word_small_family,S14
n250,-4.085,1,FP1,2,Critical_word_large_family,S14
n250,-3.082,2,Fz,2,Critical_word_large_family,S14
n250,-3.197,3,F3,2,Critical_word_large_family,S14
n250,-3.504,4,F7,2,Critical_word_large_family,S14
n250,-2.908,5,FC5,2,Critical_word_large_family,S14
n250,-3.443,6,FC1,2,Critical_word_large_family,S14
n250,-2.555,7,C3,2,Critical_word_large_family,S14
n250,-2.551,8,T7,2,Critical_word_large_family,S14
n250,-1.336,9,CP5,2,Critical_word_large_family,S14
n250,-2.214,10,CP1,2,Critical_word_large_family,S14
n250,-1.704,11,Pz,2,Critical_word_large_family,S14
n250,0.606,12,P3,2,Critical_word_large_family,S14
n250,1.644,13,P7,2,Critical_word_large_family,S14
n250,4.329,14,O1,2,Critical_word_large_family,S14
n250,3.793,15,O2,2,Critical_word_large_family,S14
n250,0.551,16,P4,2,Critical_word_large_family,S14
n250,1.746,17,P8,2,Critical_word_large_family,S14
n250,-0.914,18,CP6,2,Critical_word_large_family,S14
n250,-3.276,19,CP2,2,Critical_word_large_family,S14
n250,-4.879,20,CZ,2,Critical_word_large_family,S14
n250,-3.821,21,C4,2,Critical_word_large_family,S14
n250,-1.645,22,T8,2,Critical_word_large_family,S14
n250,-1.962,23,FC6,2,Critical_word_large_family,S14
n250,-3.582,24,FC2,2,Critical_word_large_family,S14
n250,-3.122,25,F4,2,Critical_word_large_family,S14
n250,-2.664,26,F8,2,Critical_word_large_family,S14
n250,-3.560,1,FP1,3,nonword_small_complex,S14
n250,-4.591,2,Fz,3,nonword_small_complex,S14
n250,-4.055,3,F3,3,nonword_small_complex,S14
n250,-2.408,4,F7,3,nonword_small_complex,S14
n250,-2.085,5,FC5,3,nonword_small_complex,S14
n250,-4.254,6,FC1,3,nonword_small_complex,S14
n250,-3.602,7,C3,3,nonword_small_complex,S14
n250,-0.403,8,T7,3,nonword_small_complex,S14
n250,-0.974,9,CP5,3,nonword_small_complex,S14
n250,-3.765,10,CP1,3,nonword_small_complex,S14
n250,-4.214,11,Pz,3,nonword_small_complex,S14
n250,-1.133,12,P3,3,nonword_small_complex,S14
n250,1.107,13,P7,3,nonword_small_complex,S14
n250,2.008,14,O1,3,nonword_small_complex,S14
n250,1.480,15,O2,3,nonword_small_complex,S14
n250,-1.439,16,P4,3,nonword_small_complex,S14
n250,-0.131,17,P8,3,nonword_small_complex,S14
n250,-3.208,18,CP6,3,nonword_small_complex,S14
n250,-5.044,19,CP2,3,nonword_small_complex,S14
n250,-5.276,20,CZ,3,nonword_small_complex,S14
n250,-5.899,21,C4,3,nonword_small_complex,S14
n250,-3.918,22,T8,3,nonword_small_complex,S14
n250,-5.510,23,FC6,3,nonword_small_complex,S14
n250,-4.813,24,FC2,3,nonword_small_complex,S14
n250,-7.050,25,F4,3,nonword_small_complex,S14
n250,-4.320,26,F8,3,nonword_small_complex,S14
n250,-1.039,1,FP1,4,nonword_large_complex,S14
n250,-1.251,2,Fz,4,nonword_large_complex,S14
n250,-0.484,3,F3,4,nonword_large_complex,S14
n250,-0.477,4,F7,4,nonword_large_complex,S14
n250,0.241,5,FC5,4,nonword_large_complex,S14
n250,-1.359,6,FC1,4,nonword_large_complex,S14
n250,1.189,7,C3,4,nonword_large_complex,S14
n250,0.996,8,T7,4,nonword_large_complex,S14
n250,2.351,9,CP5,4,nonword_large_complex,S14
n250,1.262,10,CP1,4,nonword_large_complex,S14
n250,2.337,11,Pz,4,nonword_large_complex,S14
n250,3.398,12,P3,4,nonword_large_complex,S14
n250,4.125,13,P7,4,nonword_large_complex,S14
n250,6.342,14,O1,4,nonword_large_complex,S14
n250,5.048,15,O2,4,nonword_large_complex,S14
n250,4.225,16,P4,4,nonword_large_complex,S14
n250,4.334,17,P8,4,nonword_large_complex,S14
n250,2.446,18,CP6,4,nonword_large_complex,S14
n250,0.987,19,CP2,4,nonword_large_complex,S14
n250,-0.819,20,CZ,4,nonword_large_complex,S14
n250,0.264,21,C4,4,nonword_large_complex,S14
n250,1.462,22,T8,4,nonword_large_complex,S14
n250,1.114,23,FC6,4,nonword_large_complex,S14
n250,-0.564,24,FC2,4,nonword_large_complex,S14
n250,0.183,25,F4,4,nonword_large_complex,S14
n250,0.748,26,F8,4,nonword_large_complex,S14
n250,-6.178,1,FP1,5,nonword_small_simple,S14
n250,-3.680,2,Fz,5,nonword_small_simple,S14
n250,-4.140,3,F3,5,nonword_small_simple,S14
n250,-3.813,4,F7,5,nonword_small_simple,S14
n250,-2.837,5,FC5,5,nonword_small_simple,S14
n250,-3.548,6,FC1,5,nonword_small_simple,S14
n250,-1.095,7,C3,5,nonword_small_simple,S14
n250,-1.862,8,T7,5,nonword_small_simple,S14
n250,0.577,9,CP5,5,nonword_small_simple,S14
n250,0.545,10,CP1,5,nonword_small_simple,S14
n250,1.090,11,Pz,5,nonword_small_simple,S14
n250,3.354,12,P3,5,nonword_small_simple,S14
n250,3.515,13,P7,5,nonword_small_simple,S14
n250,6.524,14,O1,5,nonword_small_simple,S14
n250,4.233,15,O2,5,nonword_small_simple,S14
n250,1.553,16,P4,5,nonword_small_simple,S14
n250,1.487,17,P8,5,nonword_small_simple,S14
n250,-1.467,18,CP6,5,nonword_small_simple,S14
n250,-0.888,19,CP2,5,nonword_small_simple,S14
n250,-3.016,20,CZ,5,nonword_small_simple,S14
n250,-2.761,21,C4,5,nonword_small_simple,S14
n250,-3.639,22,T8,5,nonword_small_simple,S14
n250,-4.456,23,FC6,5,nonword_small_simple,S14
n250,-3.474,24,FC2,5,nonword_small_simple,S14
n250,-4.330,25,F4,5,nonword_small_simple,S14
n250,-4.474,26,F8,5,nonword_small_simple,S14
n250,-7.987,1,FP1,6,nonword_large_simple,S14
n250,-8.409,2,Fz,6,nonword_large_simple,S14
n250,-6.726,3,F3,6,nonword_large_simple,S14
n250,-5.673,4,F7,6,nonword_large_simple,S14
n250,-6.084,5,FC5,6,nonword_large_simple,S14
n250,-8.737,6,FC1,6,nonword_large_simple,S14
n250,-6.490,7,C3,6,nonword_large_simple,S14
n250,-5.156,8,T7,6,nonword_large_simple,S14
n250,-4.868,9,CP5,6,nonword_large_simple,S14
n250,-6.320,10,CP1,6,nonword_large_simple,S14
n250,-5.593,11,Pz,6,nonword_large_simple,S14
n250,-2.583,12,P3,6,nonword_large_simple,S14
n250,0.758,13,P7,6,nonword_large_simple,S14
n250,2.571,14,O1,6,nonword_large_simple,S14
n250,0.332,15,O2,6,nonword_large_simple,S14
n250,-4.533,16,P4,6,nonword_large_simple,S14
n250,-2.021,17,P8,6,nonword_large_simple,S14
n250,-5.488,18,CP6,6,nonword_large_simple,S14
n250,-8.475,19,CP2,6,nonword_large_simple,S14
n250,-8.920,20,CZ,6,nonword_large_simple,S14
n250,-9.306,21,C4,6,nonword_large_simple,S14
n250,-5.988,22,T8,6,nonword_large_simple,S14
n250,-8.159,23,FC6,6,nonword_large_simple,S14
n250,-9.064,24,FC2,6,nonword_large_simple,S14
