SubjID,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime,sensitivity
S101,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6,13,13,13,13,26,0.5,0.5,-0.5309407213766713,0.5309407213766713,0,-1.0618814427533425,Insensitive
S104,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S105,11,5,11,5,11,5,11,5,11,5,11,5,13,3,13,3,13,3,13,3,13,3,13,3,24,8,24,8,32,0.75,0.25,1.134305747983278,-1.134305747983278,0.5,2.268611495966556,Sensitive
S106,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6,13,13,13,13,26,0.5,0.5,-0.5309407213766713,0.5309407213766713,0,-1.0618814427533425,Insensitive
S107,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6,13,13,13,13,26,0.5,0.5,-0.5309407213766713,0.5309407213766713,0,-1.0618814427533425,Insensitive
S108,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,22,10,22,10,32,0.6875,0.3125,0.7179941306432909,-0.7179941306432909,0.375,1.4359882612865817,Sensitive
S109,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,28,4,28,4,32,0.875,0.125,1.9669289826632528,-1.9669289826632528,0.75,3.9338579653265056,Sensitive
S110,13,3,13,3,13,3,13,3,13,3,13,3,11,5,11,5,11,5,11,5,11,5,11,5,24,8,24,8,32,0.75,0.25,1.134305747983278,-1.134305747983278,0.5,2.268611495966556,Sensitive
S111,9,6,9,6,9,6,9,6,9,6,9,6,5,11,5,11,5,11,5,11,5,11,5,11,14,17,14,17,31,0.45161290322580644,0.5483870967741935,-0.8532464896398874,0.8532464896398869,-0.09677419354838707,-1.7064929792797743,Insensitive
S113,8,8,8,8,8,8,8,8,8,8,8,8,11,5,11,5,11,5,11,5,11,5,11,5,19,13,19,13,32,0.59375,0.40625,0.0935267046333098,-0.0935267046333098,0.1875,0.1870534092666196,Sensitive
S114,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S115,5,11,5,11,5,11,5,11,5,11,5,11,9,7,9,7,9,7,9,7,9,7,9,7,14,18,14,18,32,0.4375,0.5625,-0.9472523387166586,0.9472523387166586,-0.125,-1.8945046774333172,Insensitive
S116,12,4,12,4,12,4,12,4,12,4,12,4,14,2,14,2,14,2,14,2,14,2,14,2,26,6,26,6,32,0.8125,0.1875,1.5506173653232656,-1.5506173653232656,0.625,3.101234730646531,Sensitive
S117,9,6,9,6,9,6,9,6,9,6,9,6,12,4,12,4,12,4,12,4,12,4,12,4,21,10,21,10,31,0.6774193548387096,0.3225806451612903,0.6508470955884539,-0.6508470955884542,0.3548387096774193,1.301694191176908,Sensitive
S118,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S119,13,3,13,3,13,3,13,3,13,3,13,3,11,5,11,5,11,5,11,5,11,5,11,5,24,8,24,8,32,0.75,0.25,1.134305747983278,-1.134305747983278,0.5,2.268611495966556,Sensitive
S120,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S121,5,11,5,11,5,11,5,11,5,11,5,11,9,6,9,6,9,6,9,6,9,6,9,6,14,17,14,17,31,0.45161290322580644,0.5483870967741935,-0.8532464896398874,0.8532464896398869,-0.09677419354838707,-1.7064929792797743,Insensitive
S122,10,5,10,5,10,5,10,5,10,5,10,5,11,4,11,4,11,4,11,4,11,4,11,4,21,9,21,9,30,0.7,0.3,0.801256454111288,-0.8012564541112883,0.39999999999999997,1.6025129082225762,Sensitive
S123,10,6,10,6,10,6,10,6,10,6,10,6,14,2,14,2,14,2,14,2,14,2,14,2,24,8,24,8,32,0.75,0.25,1.134305747983278,-1.134305747983278,0.5,2.268611495966556,Sensitive
