STIM,logbf.binary,logbf.binary.2
MELTANCE,Low,Low
HAPPENANCE,High,High
LIDARY,Low,Low
FIGER,Low,Low
BEERER,High,High
FANFUL,Low,Low
ALTARIC,Low,Low
ANTISM,Low,Low
ARIDISM,Low,Low
ELMIST,Low,Low
CURTITY,Low,Low
DUMBITY,Low,Low
PILLIZE,Low,Low
TREASONIZE,Low,Low
TRUENESS,Low,Low
BRANCHER,High,High
PRINCEMENT,High,High
HEIGHTENCE,High,High
ADOPTISH,High,High
EJECTENCE,Low,Low
WELDIC,Low,Low
DEBTISH,Low,Low
YANKORY,Low,Low
FIENDISM,Low,Low
HUMIDOUS,Low,Low
STIRANCE,High,High
TRIPARY,High,High
FLITENCE,Low,Low
RIPENCE,Low,Low
SHEETER,High,High
GASFUL,High,High
ANGELISH,Low,Low
INKISM,Low,Low
ILLIST,High,High
COLDITY,High,High
MOUTHIZE,High,High
MUDLY,High,High
ADDMENT,High,High
PASSMENT,High,High
FREENESS,High,High
FLIPORY,Low,Low
FELLOWOUS,High,High
BOILOUS,High,High
KINGISM,High,High
NORTHIZE,High,High
EMPLOYNESS,High,High
BIINDIC,Low,Low
BREAKITY,High,High
AGREELY,High,High
PITCHORY,Low,Low
SOCKETEL,Low,Low
GUMFIL,Low,Low
HEIRIG,Low,Low
AIDIG,High,High
URNILT,Low,Low
RAMPIME,Low,Low
JAWLA,Low,Low
OPPOSEMANT,High,High
NEXTNELS,High,High
BASKODY,Low,Low
DIGODY,High,High
WARNODY,High,High
BOLTOES,Low,Low
HELMETOES,Low,Low
SCHEMENELS,High,High
ACREMANT,Low,Low
TILTADY,Low,Low
MEDICALADY,High,High
ZOOMFIL,Low,Low
YIELDILT,Low,Low
WINKIDY,Low,Low
THRILLANGE,Low,Low
NULLITH,Low,Low
FEVERIME,Low,Low
ADVERTISELA,Low,Low
PRAYANGE,High,High
BOGADY,Low,Low
BANDADY,High,High
BEGENGE,Low,Low
PICKENGE,High,High
TAXFIL,High,High
HABITIG,High,High
BEANITH,Low,Low
WIGITH,Low,Low
ELBOWILM,High,High
WITCHITH,High,High
EARILT,Low,Low
POORIDY,High,High
NUTLA,High,High
TOWERLA,High,High
SHOOTMANT,High,High
LONGNELS,High,High
CLASSOES,High,High
SMOOTHFIL,High,High
GROWILT,High,High
DRESSODY,High,High
CRITICANGE,High,High
VALIDEL,Low,Low
BLOODEL,High,High
BEARILT,High,High
