SubjID,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24
S101,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6
S104,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7
S105,11,5,11,5,11,5,11,5,11,5,11,5,13,3,13,3,13,3,13,3,13,3,13,3
S106,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6
S107,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6
S108,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5
S109,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2
S110,13,3,13,3,13,3,13,3,13,3,13,3,11,5,11,5,11,5,11,5,11,5,11,5
S111,9,6,9,6,9,6,9,6,9,6,9,6,5,11,5,11,5,11,5,11,5,11,5,11
S113,8,8,8,8,8,8,8,8,8,8,8,8,11,5,11,5,11,5,11,5,11,5,11,5
S114,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7
S115,5,11,5,11,5,11,5,11,5,11,5,11,9,7,9,7,9,7,9,7,9,7,9,7
S116,12,4,12,4,12,4,12,4,12,4,12,4,14,2,14,2,14,2,14,2,14,2,14,2
S117,9,6,9,6,9,6,9,6,9,6,9,6,12,4,12,4,12,4,12,4,12,4,12,4
S118,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6
S119,13,3,13,3,13,3,13,3,13,3,13,3,11,5,11,5,11,5,11,5,11,5,11,5
S120,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7
S121,5,11,5,11,5,11,5,11,5,11,5,11,9,6,9,6,9,6,9,6,9,6,9,6
S122,10,5,10,5,10,5,10,5,10,5,10,5,11,4,11,4,11,4,11,4,11,4,11,4
S123,10,6,10,6,10,6,10,6,10,6,10,6,14,2,14,2,14,2,14,2,14,2,14,2
S124,6,10,6,10,6,10,6,10,6,10,6,10,8,8,8,8,8,8,8,8,8,8,8,8
S125,5,11,5,11,5,11,5,11,5,11,5,11,9,7,9,7,9,7,9,7,9,7,9,7
S126,13,3,13,3,13,3,13,3,13,3,13,3,14,2,14,2,14,2,14,2,14,2,14,2
S127,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6
S128,15,1,15,1,15,1,15,1,15,1,15,1,16,0,16,0,16,0,16,0,16,0,16,0
S129,10,6,10,6,10,6,10,6,10,6,10,6,7,9,7,9,7,9,7,9,7,9,7,9
S130,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
S131,8,7,8,7,8,7,8,7,8,7,8,7,11,5,11,5,11,5,11,5,11,5,11,5
S132,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6
S133,6,10,6,10,6,10,6,10,6,10,6,10,9,7,9,7,9,7,9,7,9,7,9,7
S134,10,6,10,6,10,6,10,6,10,6,10,6,8,7,8,7,8,7,8,7,8,7,8,7
