SubjID,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime,sensitivity
S104,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,18,14,18,14,32,0.5625,0.4375,-0.01015515747241342,0.010155157472413006,0.125,-0.02031031494482643,Insensitive
S105,11,5,11,5,11,5,11,5,11,5,11,5,13,3,13,3,13,3,13,3,13,3,13,3,24,8,24,8,32,0.75,0.25,1.3912565737206037,-1.3912565737206042,0.5,2.782513147441208,Sensitive
S106,12,4,12,4,12,4,12,4,12,4,12,4,14,2,14,2,14,2,14,2,14,2,14,2,26,6,26,6,32,0.8125,0.1875,1.8583938174516095,-1.85839381745161,0.625,3.7167876349032194,Sensitive
S107,9,7,9,7,9,7,9,7,9,7,9,7,10,6,10,6,10,6,10,6,10,6,10,6,19,13,19,13,32,0.59375,0.40625,0.22341346439308943,-0.22341346439308984,0.1875,0.44682692878617924,Insensitive
S108,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,22,10,22,10,32,0.6875,0.3125,0.924119329989598,-0.9241193299895984,0.375,1.8482386599791965,Sensitive
S109,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,28,4,28,4,32,0.875,0.125,2.325531061182615,-2.3255310611826157,0.75,4.65106212236523,Sensitive
S110,13,3,13,3,13,3,13,3,13,3,13,3,11,5,11,5,11,5,11,5,11,5,11,5,24,8,24,8,32,0.75,0.25,1.3912565737206037,-1.3912565737206042,0.5,2.782513147441208,Sensitive
S111,9,6,9,6,9,6,9,6,9,6,9,6,5,11,5,11,5,11,5,11,5,11,5,11,14,17,14,17,31,0.45161290322580644,0.5483870967741935,-0.8389470415112946,0.8389470415112937,-0.09677419354838707,-1.6778940830225884,Reversed
S112,9,7,9,7,9,7,9,7,9,7,9,7,10,6,10,6,10,6,10,6,10,6,10,6,19,13,19,13,32,0.59375,0.40625,0.22341346439308943,-0.22341346439308984,0.1875,0.44682692878617924,Insensitive
S113,8,8,8,8,8,8,8,8,8,8,8,8,11,5,11,5,11,5,11,5,11,5,11,5,19,13,19,13,32,0.59375,0.40625,0.22341346439308943,-0.22341346439308984,0.1875,0.44682692878617924,Insensitive
S114,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,18,14,18,14,32,0.5625,0.4375,-0.01015515747241342,0.010155157472413006,0.125,-0.02031031494482643,Insensitive
S115,5,11,5,11,5,11,5,11,5,11,5,11,9,7,9,7,9,7,9,7,9,7,9,7,14,18,14,18,32,0.4375,0.5625,-0.9444296449344248,0.9444296449344244,-0.125,-1.8888592898688492,Reversed
S116,12,4,12,4,12,4,12,4,12,4,12,4,14,2,14,2,14,2,14,2,14,2,14,2,26,6,26,6,32,0.8125,0.1875,1.8583938174516095,-1.85839381745161,0.625,3.7167876349032194,Sensitive
S117,9,6,9,6,9,6,9,6,9,6,9,6,12,4,12,4,12,4,12,4,12,4,12,4,21,10,21,10,31,0.6774193548387096,0.3225806451612903,0.8487746132587903,-0.8487746132587911,0.3548387096774193,1.6975492265175816,Sensitive
S118,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6,18,14,18,14,32,0.5625,0.4375,-0.01015515747241342,0.010155157472413006,0.125,-0.02031031494482643,Insensitive
