value,chindex,chlabel,bini,binlabel,SubjID
-11.773,1,FP1,25,Hits_Shape_1,S106
-11.389,2,Fz,25,Hits_Shape_1,S106
-10.917,3,F3,25,Hits_Shape_1,S106
-7.707,4,F7,25,Hits_Shape_1,S106
-7.578,5,FC5,25,Hits_Shape_1,S106
-10.664,6,FC1,25,Hits_Shape_1,S106
-7.963,7,C3,25,Hits_Shape_1,S106
-4.697,8,T7,25,Hits_Shape_1,S106
-3.184,9,CP5,25,Hits_Shape_1,S106
-7.445,10,CP1,25,Hits_Shape_1,S106
-3.465,11,Pz,25,Hits_Shape_1,S106
-0.750,12,P3,25,Hits_Shape_1,S106
2.186,13,P7,25,Hits_Shape_1,S106
6.366,14,O1,25,Hits_Shape_1,S106
7.440,15,O2,25,Hits_Shape_1,S106
-1.573,16,P4,25,Hits_Shape_1,S106
1.067,17,P8,25,Hits_Shape_1,S106
-5.155,18,CP6,25,Hits_Shape_1,S106
-7.321,19,CP2,25,Hits_Shape_1,S106
-11.174,20,CZ,25,Hits_Shape_1,S106
-8.317,21,C4,25,Hits_Shape_1,S106
-5.315,22,T8,25,Hits_Shape_1,S106
-8.527,23,FC6,25,Hits_Shape_1,S106
-10.011,24,FC2,25,Hits_Shape_1,S106
-9.489,25,F4,25,Hits_Shape_1,S106
-8.897,26,F8,25,Hits_Shape_1,S106
-12.132,27,FP2,25,Hits_Shape_1,S106
-7.697,1,FP1,26,Misses_Shape_1,S106
-7.211,2,Fz,26,Misses_Shape_1,S106
-7.609,3,F3,26,Misses_Shape_1,S106
-6.195,4,F7,26,Misses_Shape_1,S106
-4.796,5,FC5,26,Misses_Shape_1,S106
-7.498,6,FC1,26,Misses_Shape_1,S106
-4.882,7,C3,26,Misses_Shape_1,S106
-3.457,8,T7,26,Misses_Shape_1,S106
-1.653,9,CP5,26,Misses_Shape_1,S106
-3.046,10,CP1,26,Misses_Shape_1,S106
1.236,11,Pz,26,Misses_Shape_1,S106
2.223,12,P3,26,Misses_Shape_1,S106
1.175,13,P7,26,Misses_Shape_1,S106
6.322,14,O1,26,Misses_Shape_1,S106
9.512,15,O2,26,Misses_Shape_1,S106
2.077,16,P4,26,Misses_Shape_1,S106
2.931,17,P8,26,Misses_Shape_1,S106
-3.132,18,CP6,26,Misses_Shape_1,S106
-3.007,19,CP2,26,Misses_Shape_1,S106
-6.398,20,CZ,26,Misses_Shape_1,S106
-4.108,21,C4,26,Misses_Shape_1,S106
-4.493,22,T8,26,Misses_Shape_1,S106
-4.446,23,FC6,26,Misses_Shape_1,S106
-5.774,24,FC2,26,Misses_Shape_1,S106
-4.969,25,F4,26,Misses_Shape_1,S106
-4.471,26,F8,26,Misses_Shape_1,S106
-6.322,27,FP2,26,Misses_Shape_1,S106
-2.177,1,FP1,27,Correct_Rejections_Shape_1,S106
0.025,2,Fz,27,Correct_Rejections_Shape_1,S106
-0.237,3,F3,27,Correct_Rejections_Shape_1,S106
-0.443,4,F7,27,Correct_Rejections_Shape_1,S106
0.156,5,FC5,27,Correct_Rejections_Shape_1,S106
0.859,6,FC1,27,Correct_Rejections_Shape_1,S106
1.424,7,C3,27,Correct_Rejections_Shape_1,S106
0.412,8,T7,27,Correct_Rejections_Shape_1,S106
1.221,9,CP5,27,Correct_Rejections_Shape_1,S106
2.918,10,CP1,27,Correct_Rejections_Shape_1,S106
5.639,11,Pz,27,Correct_Rejections_Shape_1,S106
4.897,12,P3,27,Correct_Rejections_Shape_1,S106
0.535,13,P7,27,Correct_Rejections_Shape_1,S106
6.228,14,O1,27,Correct_Rejections_Shape_1,S106
7.983,15,O2,27,Correct_Rejections_Shape_1,S106
5.883,16,P4,27,Correct_Rejections_Shape_1,S106
1.034,17,P8,27,Correct_Rejections_Shape_1,S106
