Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1       0(  0.0)        7(100.0)       0       5       7       0       0       0       0
  2       1( 11.1)        8( 88.9)       0       4       8       0       0       0       0
  3       5( 71.4)        2( 28.6)       0       2       2       0       0       0       0
  4       6( 66.7)        3( 33.3)       0       3       3       0       0       0       0
  5       2( 28.6)        5( 71.4)       0       5       3       0       0       0       0
  6       3( 33.3)        6( 66.7)       0       5       5       0       0       0       0
  7       5( 71.4)        2( 28.6)       0       1       2       0       0       0       0
  8       6( 66.7)        3( 33.3)       0       3       3       0       0       0       0
  9       4( 57.1)        3( 42.9)       0       3       3       0       0       0       0
 10       5( 55.6)        4( 44.4)       0       4       4       0       0       0       0
 11       1( 14.3)        6( 85.7)       0       6       6       0       0       0       0
 12       3( 33.3)        6( 66.7)       0       6       5       0       0       0       0
 13       1( 20.0)        4( 80.0)       0       1       4       0       0       0       0
 14       1(  9.1)       10( 90.9)       0       5      10       0       0       0       0
 15       2( 40.0)        3( 60.0)       0       3       3       0       0       0       0
 16       8( 72.7)        3( 27.3)       0       3       3       0       0       0       0
 17       2( 40.0)        3( 60.0)       0       2       3       0       0       0       0
 18       6( 54.5)        5( 45.5)       0       5       5       0       0       0       0
 19       3( 60.0)        2( 40.0)       0       2       2       0       0       0       0
 20       5( 45.5)        6( 54.5)       0       6       6       0       0       0       0
 21       4( 80.0)        1( 20.0)       0       1       1       0       0       0       0
 22       9( 81.8)        2( 18.2)       0       1       2       0       0       0       0
 23       3( 60.0)        2( 40.0)       0       2       2       0       0       0       0
 24       4( 36.4)        7( 63.6)       0       7       7       0       0       0       0
____________________________________________________________________________________________________
Total    89( 46.4)      103( 53.6)       0      85      99       0       0       0       0

