nw_target,nw_famsize,complexity,nw_LogBf
acremant,S,SIMP,6.56
acrement,S,SIMP,6.56
addmant,L,COMP,8.68
addment,L,COMP,8.68
adoptish,S,COMP,7.09
advertisela,S,SIMP,1.56
advertisely,S,SIMP,1.56
agreela,L,COMP,8.46
agreely,L,COMP,8.46
aidic,S,SIMP,7.06
aidig,S,SIMP,7.06
altaric,S,COMP,6
altarig,S,COMP,6
angelish,L,COMP,6.48
angelith,L,COMP,6.48
antilm,S,COMP,5.33
antism,S,COMP,5.33
aridilm,S,COMP,4.61
aridism,S,COMP,4.61
bandady,L,SIMP,6.89
bandary,L,SIMP,6.89
baskody,S,SIMP,4.22
baskory,S,SIMP,4.22
beanish,L,SIMP,6.05
beanith,L,SIMP,6.05
bearilt,L,SIMP,7.87
bearist,L,SIMP,7.87
beerel,S,COMP,6.75
beerer,S,COMP,6.75
begence,L,SIMP,6.4
begenge,L,SIMP,6.4
bindic,L,COMP,6.11
bindig,L,COMP,6.11
bloodel,L,SIMP,8.29
blooder,L,SIMP,8.29
bogady,L,SIMP,5.56
bogary,L,SIMP,5.56
boil,L,COMP,7
boilous,L,COMP,7
boltoes,S,SIMP,5.85
boltous,S,SIMP,5.85
branchel,S,COMP,7.43
brancher,S,COMP,7.43
breakidy,L,COMP,8.76
breakity,L,COMP,8.76
classoes,L,SIMP,8.73
classous,L,SIMP,8.73
coldidy,L,COMP,8.18
coldity,L,COMP,8.18
criticance,L,SIMP,7.91
criticange,L,SIMP,7.91
curtidy,S,COMP,4.48
curtity,S,COMP,4.48
debtish,S,COMP,6.49
debtith,S,COMP,6.49
digody,S,SIMP,6.66
digory,S,SIMP,6.66
dressody,L,SIMP,8.26
dressory,L,SIMP,8.26
dumbidy,S,COMP,5.5
dumbity,S,COMP,5.5
earilt,L,SIMP,2.77
earist,L,SIMP,2.77
ejectence,S,COMP,4.19
ejectenge,S,COMP,4.19
elbowilm,L,SIMP,7.47
elbowism,L,SIMP,7.47
elmilt,S,COMP,5.16
elmist,S,COMP,5.16
employnels,L,COMP,8.44
employness,L,COMP,8.44
fanfil,S,COMP,6.16
fanful,S,COMP,6.16
fellowoes,L,COMP,7.19
fellowous,L,COMP,7.19
feverime,S,SIMP,6.39
feverize,S,SIMP,6.39
fiendilm,S,COMP,3.97
fiendism,S,COMP,3.97
figel,S,COMP,5.28
figer,S,COMP,5.28
flipody,L,COMP,5.21
flipory,L,COMP,5.21
flitence,L,COMP,6.4
flitenge,L,COMP,6.4
freenels,L,COMP,8.89
freeness,L,COMP,8.89
gasfil,L,COMP,7.31
gasful,L,COMP,7.31
growilt,L,SIMP,9.05
growist,L,SIMP,9.05
gumfil,S,SIMP,4.04
gumful,S,SIMP,4.04
habitic,L,SIMP,7.63
habitig,L,SIMP,7.63
happenance,S,COMP,8.85
happenange,S,COMP,8.85
heightence,S,COMP,6.82
heightenge,S,COMP,6.82
heiric,S,SIMP,5.35
heirig,S,SIMP,5.35
helmetoes,S,SIMP,5.49
helmetous,S,SIMP,5.49
humidoes,S,COMP,4.52
humidous,S,COMP,4.52
illilt,L,COMP,7.77
illist,L,COMP,7.77
ime,L,COMP,7.84
inkilm,L,COMP,5.67
inkism,L,COMP,5.67
jawla,S,SIMP,6.03
jawly,S,SIMP,6.03
kingilm,L,COMP,7.73
kingism,L,COMP,7.73
lidady,S,COMP,6.26
