cw_target,cw_famsize,cw_LogBf
allowance,S,8.52
amazement,S,6.78
amusement,S,6.75
angelic,S,6.34
attacker,S,8.13
avoidable,S,7.68
awareness,S,7.78
barker,L,5.96
bearded,S,6.36
blindness,L,6.93
boldness,S,5.94
bomber,L,7.1
boneless,L,7.31
bootless,L,6.85
bossy,S,6.31
buyer,S,8.39
campaigner,S,7.6
chilly,S,6.19
cleaner,L,7.96
cloudless,L,7.07
collector,L,8.08
composer,L,7.08
conductor,L,6.99
cooling,L,7.27
costly,S,8.35
creamy,L,6.67
dampish,L,6.43
dancer,L,7.6
deafness,L,5.67
densely,S,6.48
design,S,8.1
destroyer,S,7.55
detectable,S,6.89
dietary,S,7.07
doubtful,L,8.33
dreamer,L,7.75
dryness,L,7.77
dullness,S,6.56
editor,L,7.17
effortless,S,7.81
enjoyment,S,7.93
excitement,L,7.56
faithful,L,7.19
feeder,L,7.94
flexible,L,6.5
grimly,S,6.31
guarding,L,7.62
guileless,L,4.11
guilty,S,7.36
harmless,S,7
heater,L,7.97
hugely,S,7.56
hunter,L,7.47
insistent,S,7.4
jailer,S,6.52
jumping,L,7.24
kicking,L,6.92
knocker,L,7.01
laughing,L,8.34
lender,S,6.22
listener,S,8.03
locally,S,8.41
locker,L,7.41
madness,L,7.17
magical,S,6.92
mildness,S,6.52
mossy,S,5
neatly,S,6.83
noticeable,S,8.14
painter,L,8.21
parking,L,7.57
peaking,S,6.3
planner,S,8.61
professor,L,8.18
puncher,L,5.78
pusher,L,7.83
quietly,L,7.9
raider,S,6.22
renter,L,7.43
richness,S,7.96
risky,S,7.51
sailor,L,6.61
seeker,S,7.68
shameful,L,6.9
shapely,L,7.55
singer,S,7.69
speller,L,6.66
strangeness,S,7.98
striker,L,8.14
stylish,L,7.66
swimmer,L,7.04
teacher,S,8.64
thruster,S,6.37
toaster,S,5.83
tossing,S,6.01
tutoring,S,6.212606096
verbal,L,6.05
weedy,L,6.59
widowed,S,6.21
wrongly,L,8.17
