Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1       2( 22.2)        7( 77.8)       0       3       7       0       0       0       0
  2       2( 33.3)        4( 66.7)       0       3       4       0       0       0       0
  3       6( 66.7)        3( 33.3)       0       1       3       0       0       0       0
  4       5( 83.3)        1( 16.7)       0       1       0       0       0       0       0
  5       4( 44.4)        5( 55.6)       0       2       5       0       0       0       0
  6       5( 83.3)        1( 16.7)       0       1       1       0       0       0       0
  7       6( 66.7)        3( 33.3)       0       3       3       0       0       0       0
  8       2( 33.3)        4( 66.7)       0       3       4       0       0       0       0
  9       6( 66.7)        3( 33.3)       0       1       3       0       0       0       0
 10       4( 66.7)        2( 33.3)       0       1       2       0       0       0       0
 11       6( 66.7)        3( 33.3)       0       0       3       0       0       0       0
 12       6(100.0)        0(  0.0)       0       0       0       0       0       0       0
 13       2( 40.0)        3( 60.0)       0       2       3       0       0       0       0
 14       3( 27.3)        8( 72.7)       0       2       8       0       0       0       0
 15       4( 80.0)        1( 20.0)       0       1       1       0       0       0       0
 16       7( 63.6)        4( 36.4)       0       4       4       0       0       0       0
 17       3( 60.0)        2( 40.0)       0       2       2       0       0       0       0
 18       9( 81.8)        2( 18.2)       0       1       2       0       0       0       0
 19       2( 40.0)        3( 60.0)       0       2       3       0       0       0       0
 20       7( 63.6)        4( 36.4)       0       3       4       0       0       0       0
 21       3( 60.0)        2( 40.0)       0       0       2       0       0       0       0
 22       7( 63.6)        4( 36.4)       0       2       4       0       0       0       0
 23       4( 80.0)        1( 20.0)       0       1       1       0       0       0       0
 24       8( 72.7)        3( 27.3)       0       1       3       0       0       0       0
____________________________________________________________________________________________________
Total   113( 60.8)       73( 39.2)       0      40      72       0       0       0       0

